sample_ID	sample_type	compound_ID	compound_CAS	compound_name	compound_abbr	mean_ID	mean_ID_control	control_type	conc_ID	conc_amt	conc_unit	conc_max	conc_min	rep	lib_size	read_depth	plate_ID	plate_well	plate_row	plate_col	batch	timepoint	cell_type	compound_class	LOAEL_amt	LOAEL_unit	PBPK_equivalent	PBPK_serum_level
CS1119_C1_P4_R1	Treatment	CS1119	2372-82-9	Laurylamine dipropylenediamine	DPTA	CS1119_1_P4	Medium_P4	Medium	1	3e-4	µM	1	3e-4	1	2480659	110.090045710735	P4	A3	A	3	2	24	PHH	High toxicity	8	mg/kg/d	7.269012028	10 mg/kg
CS1119_C1_P4_R2	Treatment	CS1119	2372-82-9	Laurylamine dipropylenediamine	DPTA	CS1119_1_P4	Medium_P4	Medium	1	3e-4	µM	1	3e-4	2	3775384	167.549105756002	P4	A3	A	3	2	24	PHH	High toxicity	8	mg/kg/d	7.269012028	10 mg/kg
CS1119_C1_P4_R3	Treatment	CS1119	2372-82-9	Laurylamine dipropylenediamine	DPTA	CS1119_1_P4	Medium_P4	Medium	1	3e-4	µM	1	3e-4	3	3362328	149.21794701105	P4	G1	G	1	2	24	PHH	High toxicity	8	mg/kg/d	7.269012028	10 mg/kg
CS1119_C2_P4_R1	Treatment	CS1119	2372-82-9	Laurylamine dipropylenediamine	DPTA	CS1119_2_P4	Medium_P4	Medium	2	0.003	µM	1	3e-4	1	2698915	119.776106155416	P4	B3	B	3	2	24	PHH	High toxicity	8	mg/kg/d	7.269012028	10 mg/kg
CS1119_C2_P4_R2	Treatment	CS1119	2372-82-9	Laurylamine dipropylenediamine	DPTA	CS1119_2_P4	Medium_P4	Medium	2	0.003	µM	1	3e-4	2	2305091	102.29845116052	P4	B3	B	3	2	24	PHH	High toxicity	8	mg/kg/d	7.269012028	10 mg/kg
CS1119_C2_P4_R3	Treatment	CS1119	2372-82-9	Laurylamine dipropylenediamine	DPTA	CS1119_2_P4	Medium_P4	Medium	2	0.003	µM	1	3e-4	3	2592744	115.064305684995	P4	G2	G	2	2	24	PHH	High toxicity	8	mg/kg/d	7.269012028	10 mg/kg
CS1119_C3_P4_R1	Treatment	CS1119	2372-82-9	Laurylamine dipropylenediamine	DPTA	CS1119_3_P4	Medium_P4	Medium	3	0.009	µM	1	3e-4	1	2226200	98.7973194869747	P4	C3	C	3	2	24	PHH	High toxicity	8	mg/kg/d	7.269012028	10 mg/kg
CS1119_C3_P4_R2	Treatment	CS1119	2372-82-9	Laurylamine dipropylenediamine	DPTA	CS1119_3_P4	Medium_P4	Medium	3	0.009	µM	1	3e-4	2	2409893	106.949496294324	P4	C3	C	3	2	24	PHH	High toxicity	8	mg/kg/d	7.269012028	10 mg/kg
CS1119_C3_P4_R3	Treatment	CS1119	2372-82-9	Laurylamine dipropylenediamine	DPTA	CS1119_3_P4	Medium_P4	Medium	3	0.009	µM	1	3e-4	3	2891490	128.322460391426	P4	H1	H	1	2	24	PHH	High toxicity	8	mg/kg/d	7.269012028	10 mg/kg
CS1119_C4_P4_R1	Treatment	CS1119	2372-82-9	Laurylamine dipropylenediamine	DPTA	CS1119_4_P4	Medium_P4	Medium	4	0.03	µM	1	3e-4	1	2512528	111.50437136644	P4	D3	D	3	2	24	PHH	High toxicity	8	mg/kg/d	7.269012028	10 mg/kg
CS1119_C4_P4_R2	Treatment	CS1119	2372-82-9	Laurylamine dipropylenediamine	DPTA	CS1119_4_P4	Medium_P4	Medium	4	0.03	µM	1	3e-4	2	2157028	95.7275107619935	P4	D3	D	3	2	24	PHH	High toxicity	8	mg/kg/d	7.269012028	10 mg/kg
